timestamp_machine,timestamp_google,rr,device,dateTime
1646146105719,1646146105702,672,ED:68:09:2B:C6:5F,2022-03-01 15:48:25
1646146105729,1646146105713,863,ED:68:09:2B:C6:5F,2022-03-01 15:48:25
1646146105740,1646146105724,772,ED:68:09:2B:C6:5F,2022-03-01 15:48:25
1646146105759,1646146105743,775,ED:68:09:2B:C6:5F,2022-03-01 15:48:25
1646146106719,1646146106702,768,ED:68:09:2B:C6:5F,2022-03-01 15:48:26
1646146106719,1646146106702,751,ED:68:09:2B:C6:5F,2022-03-01 15:48:26
1646146107713,1646146107697,748,ED:68:09:2B:C6:5F,2022-03-01 15:48:27
1646146108714,1646146108694,747,ED:68:09:2B:C6:5F,2022-03-01 15:48:28
1646146110707,1646146110691,756,ED:68:09:2B:C6:5F,2022-03-01 15:48:30
1646146110707,1646146110691,763,ED:68:09:2B:C6:5F,2022-03-01 15:48:30
1646146110719,1646146110703,776,ED:68:09:2B:C6:5F,2022-03-01 15:48:30
1646146111705,1646146111688,792,ED:68:09:2B:C6:5F,2022-03-01 15:48:31
1646146113699,1646146113682,791,ED:68:09:2B:C6:5F,2022-03-01 15:48:33
1646146113699,1646146113682,792,ED:68:09:2B:C6:5F,2022-03-01 15:48:33
1646146113712,1646146113692,803,ED:68:09:2B:C6:5F,2022-03-01 15:48:33
1646146114696,1646146114680,808,ED:68:09:2B:C6:5F,2022-03-01 15:48:34
1646146115696,1646146115679,807,ED:68:09:2B:C6:5F,2022-03-01 15:48:35
1646146115696,1646146115679,804,ED:68:09:2B:C6:5F,2022-03-01 15:48:35
1646146116695,1646146116679,795,ED:68:09:2B:C6:5F,2022-03-01 15:48:36
1646146117689,1646146117672,792,ED:68:09:2B:C6:5F,2022-03-01 15:48:37
1646146118686,1646146118670,763,ED:68:09:2B:C6:5F,2022-03-01 15:48:38
1646146119688,1646146119672,772,ED:68:09:2B:C6:5F,2022-03-01 15:48:39
1646146119688,1646146119672,775,ED:68:09:2B:C6:5F,2022-03-01 15:48:39
1646146122743,1646146122726,768,ED:68:09:2B:C6:5F,2022-03-01 15:48:42
1646146122752,1646146122736,771,ED:68:09:2B:C6:5F,2022-03-01 15:48:42
1646146122762,1646146122746,764,ED:68:09:2B:C6:5F,2022-03-01 15:48:42
1646146122762,1646146122746,755,ED:68:09:2B:C6:5F,2022-03-01 15:48:42
1646146125733,1646146125716,756,ED:68:09:2B:C6:5F,2022-03-01 15:48:45
1646146125743,1646146125727,764,ED:68:09:2B:C6:5F,2022-03-01 15:48:45
1646146460458,1646146460441,760,ED:68:09:2B:C6:5F,2022-03-01 15:54:20
